ID	R04D01	R04D02	R04T00	R04T01	R04T02	R04T03	R04T04
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_10_length_2944_cov_11.372101_390_6_1|TLMV	0.004584267058187157	0.0	0.0	0.00023576855041852158	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_12_length_2927_cov_4.710306_398_5_1|TLMV	0.001926048991577158	0.0	0.0	0.0003131705882619648	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_15_length_2869_cov_19.172353_339_6_1|TLMV	0.00713430183138861	0.0	0.0	0.0006525736663369793	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_16_length_2806_cov_69.043984_511_1_1|TLMV	0.023894984931612705	0.0	0.0	0.0024137129206995072	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_17_length_2798_cov_15.925629_349_4_1|TLMV	0.0060447415192025344	0.0	0.0	0.0	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_18_length_2790_cov_11.485923_478_1_1|TLMV	0.004470288231203153	0.0	0.0	0.0	0.00973449711664772	0.0	0.0018030095896098624
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_19_length_2628_cov_2.668480_131_5_1|TLMV	0.000875125569894135	0.0	0.0	2.5908631914123247e-06	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_1_length_8697_cov_15.205971_249_3_1|TLMV	0.005378255158024882	0.0	0.0	0.0	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_3_length_5918_cov_112.752857_371_5_1|TLMV	0.03812495170388687	0.0	0.0	0.0003999645051742777	0.0034277345720713144	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_5_length_5413_cov_24.021090_247_1_1|TLMV	0.00877443783324318	0.0	0.0	0.0	0.0	0.0	0.0
R04D01-TTVRCA_S5_2019.01.25_iseq_run_VL46-0348_R04T00-R04D02|NODE_6_length_3692_cov_17.261754_748_4_1|TLMV	0.007860675372845993	0.0	0.0	0.0	0.0	0.0	0.0007010512910849287
