ID	R02D01	R02D02	R02D03	R02D04	R02T00	R02T01	R02T02	R02T03	R02T04
R02D01_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_2737_cov_4.002237_115_4_1|TTMV	0.979166667	0	0	0	0	0	0	0	0
R02D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_1_length_3799_cov_3.075321_1225_4_1|TLMV	0	0.002863999	0	0	0	0	0	0	0
R02D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_2_length_3595_cov_645.693220_869_5_1|TTV_Clade5	0	0.734886601	0	0	0	0	0	0	0
R02D02_2019.04.10_nextseq_run_VL46-0475_multiplex_set_B|NODE_3_length_3546_cov_230.958465_395_2_1|TTV_Clade3	0	0.2622494	0	0	0	0	0	0	0
R02D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3914_cov_4159.214045_896_5_1|TTV_Clade5	0	0	0	0.365785185	0	0	0.548348307	0.801998378	0
R02D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3789_cov_7165.803696_879_6_1|TTV_Clade7	0	0	0	0.633871313	0	0	0	0	0
R02D04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3002_cov_5.043434_424_4_1|TTMV	0	0	0	0.000343501	0	0	0	0	0
R02T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3825_cov_975.687268_617_2_1|TTV_Clade7	0	0	0	0	1	0	0	0	0
R02T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3581_cov_4.287011_894_6_1|TTV_Clade9	0	0	0	0	0	1	0	0	0
R02T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3736_cov_1829.782668_689_2_1|TTV_Clade3	0	0	0	0	0	0	0.325865395	0.014236658	1
R02T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3482_cov_83.187044_889_4_1|TTV_Clade3	0	0	0	0	0	0	0.012489912	0	0
R02T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_5_length_3033_cov_12.262592_399_3_1|TTV_Clade7	0	0	0	0	0	0	0.00212708	0	0
R02T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2852_cov_15.311405_305_5_1|TTMV	0	0	0	0	0	0	0.002068291	0	0
R02T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_7_length_2604_cov_733.858376_341_2_1|TTMV	0.020833333	0	0	0	0	0	0.101982246	0	0
R02T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_8_length_2590_cov_49.703748_236_5_1|TTMV	0	0	0	0	0	0	0.007118769	0	0
R02T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3697_cov_244.448380_576_3_1|TTV_Clade9	0	0	0	0	0	0	0	0.183764964	0
