ID	R08D01	R08D02	R08D03	R08T00	R08T01	R08T02	R08T03	R08T04
R08T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3726_cov_765.897303_850_4_1|TTV_Clade3				1.0	0.6021404376288667	0.3187915018089929	0.0	0.77870236460941
R08T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3833_cov_9113.518793_895_4_1|TTV_Clade5				0.0	0.14011511814467334	0.0002958816410732313	0.0	0.0
R08T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3273_cov_1382.586700_644_5_1|TTMV				0.0	0.019216662607369994	0.0	0.0	0.0
R08T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3195_cov_6571.449045_396_6_1|TTV_Clade3				0.0	0.09032979831595811	0.0	0.0	0.0
R08T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_5_length_2965_cov_10555.916838_356_2_1|TTV_Clade1				0.0	0.14697062424964819	0.03907166057398687	0.0	0.0
R08T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2787_cov_240.408492_203_5_1|TTMV				0.0	0.001227359053483666	0.0	0.0	0.0
R08T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3270_cov_158.837325_806_2_1|TTMV				0.0	0.0	0.001892466814228654	0.0	0.0
R08T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2934_cov_1981.221605_335_5_1|TTV_Clade5				0.0	0.0	0.021891714373499037	0.0	0.0
R08T03_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3748_cov_9.611156_837_6_1|TTV_Clade9				0.0	0.0	0.6180567747882193	1.0	0.0
R08T04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3272_cov_3970.647498_257_5_1|TTMV				0.0	0.0	0.0	0.0	0.22129763539059003
