ID	R09D01	R09T00	R09T01	R09T02	R09T03	R09T04
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_10_length_2928_cov_98.261399_375_3_1|TTV_Clade5		0.010146688502650254	0.0	0.23091978715152509	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_11_length_2915_cov_24.077622_272_5_1|TTV_Clade7		0.0025146600454329336	0.0	0.16634624120417452	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_12_length_2901_cov_66.264230_370_1_1|TTV_Clade5		0.006716325919664712	0.0	1.4165150018707767e-05	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_13_length_2863_cov_12.339387_519_3_1|TLMV		0.0010530579181855001	0.0	0.0	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_14_length_2839_cov_194.997845_323_2_1|TTV_Clade9		0.019486854385686866	0.0	0.0	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_15_length_2786_cov_11.824240_167_2_1|TTV_Clade6		0.0012784616197369116	0.0	0.20177816593545186	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_16_length_2486_cov_32.660633_253_1_1|TTMV		0.0029267261873316074	0.0	0.0	3.973674710708839e-06	0.0034281796366129585
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3334_cov_891.870387_387_3_1|TTV_Clade6		0.08914012009790974	0.0	0.0	0.0655683837322648	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3320_cov_4365.965697_594_6_1|TTV_Clade5		0.4680296546744854	0.0	0.0	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_3_length_3282_cov_450.432290_686_2_1|TTV_Clade1		0.04740521598253121	0.08163632595976104	0.15003384982401022	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3230_cov_1911.889764_693_3_1|TTMV		0.19958088999242785	0.006780636277164528	1.0745975876261064e-05	0.10433738821365288	0.015426808364758314
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_5_length_3009_cov_1260.227150_300_6_1|TTV_Clade9		0.1327451705495976	0.2269269839539728	4.884534489209575e-07	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2995_cov_11.780952_587_2_1|TLMV		0.0011199746420835755	0.0	0.0	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_7_length_2991_cov_124.773501_326_5_1|TTV_Clade7		0.01367566520506454	0.0	0.0	0.0	0.0017140898183064792
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_8_length_2984_cov_4.977467_336_6_1|TTV_Clade7		0.000500114462817194	0.0	0.0	0.0	0.0
R09T00_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_9_length_2962_cov_38.028896_569_2_1|TLMV		0.003648722418863472	0.0	0.0	0.0	0.0
R09T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_2_length_3786_cov_17784.791477_1322_2_1|TTV_Clade3		3.169739553066723e-05	0.35028576896534463	0.0	0.0	0.0
R09T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_4_length_3288_cov_17161.261058_682_1_1|TTV_Clade3		0.0	0.33272582212046337	0.2444636243832054	0.8256635807516419	0.0
R09T01_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_8_length_2914_cov_13.447709_527_5_1|TLMV		0.0	0.00022306392238896392	0.0006613659698389764	0.0	0.0
R09T02_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_6_length_2928_cov_475.395405_281_5_1|TLMV		0.0	0.0014213988009046763	0.005771565952450034	0.004426673627729647	0.0
R09T04_2019.04.08_nextseq_run_VL46-0475_multiplex_run1|NODE_1_length_3831_cov_84.755032_862_4_1|TTV_Clade7		0.0	0.0	0.0	0.0	0.9794309221803222
