KF954946|VIPR_ALG4_589434945_914_2392.1,-0.01485940106817178,-0.18064988515924635
KP757152|VIPR_ALG4_906348060_937_2415.1,-0.13608604323772255,0.1307578696934121
MN921642|VIPR_ALG4_QHD57341_1_10_1494.1,0.13580347201014906,-0.029447618243307206
LC410183|VIPR_ALG4_BBG31501_1_915_2399.1,0.1245846658259572,-0.03087744171454449
KT758785|VIPR_ALG4_AOQ25581_1_1_1479.1,-0.023225527844563894,-0.19100761142748107
FJ390373|VIPR_ALG4_209976542_899_2377.1,-0.019934286246408514,-0.1789530910399856
KP191500|VIPR_ALG4_923422366_37_1515.1,0.12917186923055105,-0.03201081168219495
KY882554|VIPR_ALG4_AST12924_1_499_1929.1,0.0570216140155469,0.2785328875057161
MH349368|VIPR_ALG4_QBE89963_1_841_2325.1,0.1227494229704631,-0.04886366191318207
MF598849|VIPR_ALG4_ASX95569_1_1_1484.1,0.142208652302991,-0.02870595074825699
KT781569|VIPR_ALG4_AOQ25646_1_1_1485.1,-0.14249679402558763,0.12797841788341907
KT204440|VIPR_ALG4_AKU61420_1_1_1485.1,0.1309999401402001,-0.0316773809712622
KY586878|VIPR_ALG4_1151124729_842_2326.1,0.05510990891303516,0.2840568837168073
KP703974|VIPR_ALG4_952949089_1_1485.1,-0.25848208894153996,-0.10740656741630465
MG895253|VIPR_ALG4_AXL67743_1_1_1479.1,-0.015000344186130202,-0.18726925338143807
KC692506|VIPR_ALG4_572169582_935_2419.1,0.12266736632641573,-0.048038441344509256
KT824996|VIPR_ALG4_AOQ25698_1_1_1485.1,0.1280765163007904,-0.03182497161609334
KY586394|VIPR_ALG4_1151123761_841_2325.1,0.12714921574159913,-0.032776751683071204
JQ425072|VIPR_ALG4_385322908_1_1485.1,0.12211752788292322,-0.04971791942953661
KY851402|VIPR_ALG4_AST12515_1_499_1983.1,-0.14591715894237772,0.13994268369128107
KX059024|VIPR_ALG4_ARN79593_1_917_2401.1,-0.2727600539266339,-0.09637456510682263
KF955346|VIPR_ALG4_573974176_805_2289.1,-0.16378513705862355,0.11188473154596741
KC762642|VIPR_ALG4_573592333_935_2419.1,0.12844034165393178,-0.031184657512500005
JN544377|VIPR_ALG4_AEX97771_1_1475.1,-0.15298250094511243,0.1329055249610733
KY586396|VIPR_ALG4_1151123765_841_2325.1,0.12687405061795604,-0.03166804130768275
KC762649|VIPR_ALG4_573592347_935_2419.1,0.1275535286833654,-0.03096223164470175
KT825057|VIPR_ALG4_AOQ25759_1_1_1485.1,0.14301623586938841,-0.05175384015149076
GQ398287|VIPR_ALG4_300828818_936_2420.1,-0.15539817501100323,0.11473628829637222
JF967811|VIPR_ALG4_385718166_1_1485.1,0.12807651630079045,-0.03182497161609327
JN030182|AEW25130.1,-0.012941482978253099,-0.18801490745686159
JN030176|AEW25124.1,-0.013407601005597536,-0.19015243021420875
KJ946238|VIPR_ALG4_769114097_1_1485.1,0.13480969565145967,-0.04414593741328783
